type,subtype,special,value,quantity,num_reorder,to_reorder
capacitor,ceramic,,1.5n,10,5,FALSE
resistor,metal_film,,1.8k,18,5,FALSE
resistor,metal_film,,100k,38,10,FALSE
potentiometer,trimmer,,100k,2,0,FALSE
capacitor,ceramic,,100n,10,5,FALSE
capacitor,electrolytic,,100n,10,5,FALSE
capacitor,polyester_film,,100n,7,5,FALSE
capacitor,ceramic,,100p,13,5,FALSE
capacitor,electrolytic,,100u,8,5,FALSE
resistor,metal_film,,10k,40,10,FALSE
capacitor,ceramic,,10n,10,5,FALSE
capacitor,polyester_film,,10n,10,5,FALSE
capacitor,ceramic,,10p,10,5,FALSE
capacitor,electrolytic,,10u,10,5,FALSE
resistor,metal_film,,12k,12,5,FALSE
miscellaneous,socket,,14_Pin_DIP,9,2,FALSE
resistor,metal_film,,150,20,10,FALSE
capacitor,ceramic,,150p,10,5,FALSE
capacitor,ceramic,,15n,10,5,FALSE
capacitor,ceramic,,15p,10,5,FALSE
resistor,metal_film,,1k,21,10,FALSE
resistor,metal_film,,1M,21,10,FALSE
capacitor,ceramic,,1n,10,5,FALSE
capacitor,polyester_film,,1n,9,5,FALSE
diode,rectifier,,1N4004,6,5,FALSE
diode,rectifier,,1N4007,25,12.5,FALSE
diode,schottky,,1N4148,25,12.5,FALSE
diode,general_purpose,,1N5399,10,5,FALSE
diode,rectifier,,1N5408,5,2.5,FALSE
diode,rectifier,,1N5819,10,5,FALSE
diode,schottky,,1N5822,5,2.5,FALSE
capacitor,electrolytic,,1u,10,5,FALSE
capacitor,polyester_film,,1u,10,5,FALSE
miscellaneous,jack,,2.1mm_DC,3,0,FALSE
resistor,metal_film,,2.2k,23,10,FALSE
capacitor,ceramic,,2.2n,10,5,FALSE
capacitor,electrolytic,,2.2u,10,5,FALSE
resistor,metal_film,,2.7k,18,5,FALSE
resistor,metal_film,,200,20,10,FALSE
resistor,metal_film,,20k,20,10,FALSE
resistor,metal_film,,220k,19,10,FALSE
capacitor,electrolytic,,220n,10,5,FALSE
capacitor,polyester_film,,220n,5,5,FALSE
capacitor,ceramic,,220p,13,5,FALSE
capacitor,electrolytic,,220u,10,5,FALSE
resistor,metal_film,,22k,21,10,FALSE
capacitor,ceramic,,22n,10,5,FALSE
capacitor,polyester_film,,22n,3,5,TRUE
capacitor,ceramic,,22p,10,5,FALSE
capacitor,electrolytic,,22u,10,5,FALSE
resistor,metal_film,,270,20,10,FALSE
capacitor,ceramic,,27n,9,5,FALSE
resistor,metal_film,,2k,20,10,FALSE
transistor,npn,,2N2222,10,5,FALSE
transistor,npn,,2N3904,10,5,FALSE
transistor,pnp,,2N3906,10,5,FALSE
transistor,pnp,,2N5401,10,5,FALSE
transistor,npn,,2N551,10,5,FALSE
capacitor,ceramic,,2p,10,5,FALSE
